X,Y,OBJECTID,METER_ID,VENDOR,PAY_POLICY,PRE_PAY,PARK_NO_PAY,GREEN_DOME,TOW_AWAY,STREET_CLEANING,DIR,BLK_NO,STREET,LOCK_,LOCK__,LONGITUDE,LATITUDE,TRAVEL_DIRECTION,FROM_INTERSECTION,TO_INTERSECTION,SPACE_NUMBER,NUMBEROFSPACES,METER_TYPE,HAS_SENSOR,G_DISTRICT,G_PASSPORT_ZONES,G_PM_ZONE,G_SUBZONE,G_ZONE,BASE_RATE,POLE_MOUNT,YOKE,HOUSING_TYPE,HOUSING_MANUFACTURER,SIDEWALKGE,COIN_SLOTLE,METER_CONDITION,PERMIT_RATE,INSTALLED_ON,PURCHASED_DATE,METER_STATE,SPACE_STATE
774017.646959662,2956922.92423433,625,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,RIDG,CAMBRIDGE ST,1,,-71.063947,42.361121,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AE,AE,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
774133.298087969,2956927.88891572,626,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,s,TEMP,CAMBRIDGE ST,1,,-71.063519,42.361133,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,84,,0AE,AE,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
779395.230526999,2952731.31751584,627,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,B ST,CONGRESS ST,1,,-71.044133,42.349542,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,85,,0AF,AF,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
779376.053787142,2952728.29960239,628,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,B ST,CONGRESS ST,1,,-71.044204,42.349534,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AF,AF,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
779356.069993228,2952724.54853547,629,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,B ST,CONGRESS ST,1,,-71.044278,42.349524,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AF,AF,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
779335.827558771,2952718.60953195,630,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,B ST,CONGRESS ST,1,,-71.044353,42.349508,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AF,AF,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
779317.195322767,2952714.8657189,631,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,B ST,CONGRESS ST,1,,-71.044422,42.349498,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AF,AF,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
779296.678663105,2952709.65414263,632,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,B ST,CONGRESS ST,1,,-71.044498,42.349484,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AF,AF,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
779276.974884033,2952704.08249627,633,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,B ST,CONGRESS ST,1,,-71.044571,42.349469,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AF,AF,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
779257.537519261,2952699.24114649,634,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,B ST,CONGRESS ST,1,,-71.044643,42.349456,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AF,AF,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
779192.131148055,2952798.38109981,635,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,E,CONG,EAST SERVICE RD,1,,-71.044883,42.349729,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,87,,0AF,AF,0.25,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE
779201.512393758,2952813.37273589,636,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,E,CONG,EAST SERVICE RD,1,,-71.044848,42.34977,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AF,AF,0.25,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE
779218.386546791,2952842.61708462,637,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,E,CONG,EAST SERVICE RD,1,,-71.044785,42.34985,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AF,AF,0.25,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE
779251.895537734,2952895.27368368,638,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,E,CONG,EAST SERVICE RD,1,,-71.04466,42.349994,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AF,AF,0.25,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE
779260.195455626,2952910.25957237,639,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,E,CONG,EAST SERVICE RD,1,,-71.044629,42.350035,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AF,AF,0.25,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE
779267.694154695,2952923.41904269,640,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,E,CONG,EAST SERVICE RD,1,,-71.044601,42.350071,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AF,AF,0.25,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE
779145.201548785,2952778.45159045,641,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,W,SEAP,EAST SERVICE RD,1,,-71.045057,42.349675,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,88,,0AF,AF,0.25,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE
779154.569226056,2952795.99413569,642,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,W,SEAP,EAST SERVICE RD,1,,-71.045022,42.349723,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AF,AF,0.25,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE
779165.286511868,2952813.90831338,643,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,W,SEAP,EAST SERVICE RD,1,,-71.044982,42.349772,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AF,AF,0.25,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE
779176.281870902,2952830.36626494,644,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,W,SEAP,EAST SERVICE RD,1,,-71.044941,42.349817,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AF,AF,0.25,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE
